column_name,count
PHP,271
MySQL,105
Laravel,63
Symfony,56
WordPress,44
OOP,36
PHP 7,34
JavaScript,31
REST API,31
Git,30
HTML5,30
SQL,29
PHP 8,29
PHP 8.X,21
PHP 7.x,21
PHPUnit,18
PHP 5,16
PrestaShop,16
PostgreSQL,15
Symfony 4,12
Databases,11
PHP 7.4,10
Clean Code,10
ES6+,10
CMS,10
TypeScript,10
Node.js,10
PHP7,10
yuii2,10
CSS3 / SASS,10
PHP OOP,9
SOLID Principles,9
Linux,9
Laravel 9,9
GitLab,9
DDD,9
Magento,9
English,9
HTML,8
ReactJS,7
CSS,7
Vue.js,6
HTML5 / CSS3,6
Python,6
JS,5
Symfony 3,5
CSS3,5
NodeJS,5
Magento 2,5
PHP v7.4,4
Symfony 5,4
Composer,4
CodeIgniter,4
Bootstrap,4
Redis,4
Slim,4
RSpec,4
Docker,4
Solid,4
"HTML, CSS",3
Cobol,3
TSQL,3
Drupal,3
MariaDB,3
Problem Solving,3
WebScraping,3
RabbitMQ,3
AWS,3
TypeScript/JavaScript,3
PHP 8/8.1,2
Leadership,2
Symfony 5+,2
Symphony,2
Polish,2
Symfony 4+,2
MVC frameworks,2
Yii,2
DevOps,2
API,2
JSON,2
PHP 5.6/7.3,1
Elixir,1
jeden obiektowy język programowania,1
Symphony 5,1
Doctrine,1
Teamwork,1
Shopware,1
Cloud Technology,1
CSS / HTML,1
HTTP protocol,1
Akeneo,1
HTTP,1
Go,1
tailwind,1
alpine,1
liwevire,1
C#,1
WooCommerce,1
Golang,1
Web Development,1
TYPO3,1
Digital marketing,1
jQuery,1
Product Management,1
Lumen,1
Java,1
Percona XtraDB Cluster / Mysql,1
SVN,1
Debugging skills,1
Design Patterns,1
Symfony / Laravel,1
React,1
Język Niemiecki,1
PHP version 7 and higher,1
MVC,1
Architecture,1
MongoDB,1
Nuxt,1
PHP 5/7,1
