column_name,count
.Net,380
C#,380
.NET Core,173
ASP.NET,107
SQL,73
Azure,69
Angular,55
English,50
Entity Framework,48
.NET C#,44
React,44
ASP.NET Core,41
Docker,34
MS SQL,33
.Net Framework,26
ReactJS,22
JavaScript,21
Node.js,19
TypeScript / Angular,18
ASP.NET MVC,17
.NET 6,13
OOP,13
T-SQL,12
SQL Server,12
CAD/CAM,11
CNC,11
MsSQL,11
Microsoft Dynamics 365 CE,10
Core,10
.Net 6.0,10
ASP .NET Web API,10
TypeScript,10
Microservices,9
REST API,9
MySQL,8
HTML,7
TDD,7
WPF,7
Ruby,6
XML,6
ASP.NET Web API,6
SharePoint,6
.Net 4.5,6
CSS,6
Java,5
Unit Testing,5
Elasticsearch,5
MongoDB,5
PostgreSQL,5
.net core mvc,5
PostreSQL,4
"MVC, WEB API",4
Python,4
Scada,4
Visual Studio,4
MS SQL Server,4
Git,4
Software Development,4
RSpec,4
Microsoft Azure Cloud,4
UML,4
Clean Code,3
Azure Services,3
Dynamics,3
Front-End,3
SOLID Principles,3
SQL/NoSQL,2
C#.NET,2
AWS,2
Azure Functions,2
JavaScript Framework,2
CI/CD,2
Agile,2
RabbitMQ,2
Web Applications,2
Dynamics 365,2
API,2
CQRS,2
Linux,2
Visual Basic,1
Conga,1
Polish,1
NET / C#,1
Swagger,1
REST,1
WCF,1
Microsoft Power Platform,1
SSIS,1
TSQL,1
.NET and C#,1
Cloud,1
CD,1
.Net 4.0+,1
AKS,1
ASP .NET Core,1
AngularJS,1
Confluence,1
PHP,1
Cloud Services,1
ASP.NET Core / React,1
net 6,1
MediatR,1
EF Core,1
DevExpress,1
MS-SQL,1
SSRS,1
Kubernetes,1
Cobol,1
WPF (XAML),1
NoSQL,1
API .NET Standard,1
Kafka,1
Web API,1
Team Leadership,1
WinForms,1
Oracle DB,1
Microsoft Dynamics CRM,1
.NET Core/.NET 6,1
Postman,1
Microsoft Dynamics CRM on Dynamics 365 for Sales (online),1
Design Patterns,1
.NET5,1
